All is One.md	too_short (11 chars)
All that can be done can be done through understanding.md	garbled_ocr (1 patterns: ['SADHANA'])
All the pentads to be contemplated.md	garbled_ocr (3 patterns: ['DESCRIPTION', 'PENTADS', 'DISCARDED'])
All these things are within the Self.md	garbled_ocr (3 patterns: ['BRAHMANA', 'SIKHIDHVAJA', 'VASISTHA'])
BHAGAVANS HANDWRITING - There is neither speaker nor thinker in that state; so that transcendental s.md	garbled_ocr (2 patterns: ['BHAGAVAN', 'HANDWRITING'])
Becoming a reminder of human foolishness.md	too_short (46 chars)
Before its birth it does not exist nor does it continue after death.md	raw_url (1 URLs in body); page_numbers (1 standalone numbers); pipe_artifacts (1 lines)
Bhagavan discoursed on the nature of the heart.md	garbled_ocr (2 patterns: ['SEPTEMBER', 'VASISTHA'])
Bhagavan spoke about the nature of jnana.md	garbled_ocr (2 patterns: ['DECEMBER', 'VASISTHA'])
Bhagavans silence was his direct teaching he taught Self Enquiry to those who could not comprehend.md	garbled_ocr (2 patterns: ['PEEUNSEE', 'VVEENSEE']); pipe_artifacts (1 lines)
Bondages of the past the future and the present.md	garbled_ocr (1 patterns: ['OMNIPRESENT'])
Church and State scientific reason and faith.md	garbled_ocr (2 patterns: ['PREACHER', 'ARRAKEEN'])
Crying is an act of atonement.md	too_short (43 chars)
Detachment from worldly desires leads to liberation.md	page_numbers (1 standalone numbers)
Dharma is neither preached in words nor otherwise signified.md	garbled_ocr (1 patterns: ['YOURSELVES'])
Do not exploit this gift do not try to use it for personal advantage.md	garbled_ocr (3 patterns: ['GREATER', 'COMMUNITY', 'SPIRITUALITY'])
Do not permit the events of your daily lives to bind you.md	garbled_ocr (2 patterns: ['WITHDRAW', 'YOURSELVES'])
Endowed with discrimination and dispassion.md	garbled_ocr (5 patterns: ['TRITALA', 'BHAGIRATHA', 'TRITALA'])
Food consecration mantra from the Bhagavad Gita.md	garbled_ocr (11 patterns: ['BISHMUR', 'JANARDANAHI', 'GYANTWA'])
For those who are attached to the unreal identification with the body continues.md	garbled_ocr (1 patterns: ['AHGEATY']); pipe_artifacts (1 lines)
Gratitude is meditation being silently here now and the whole opens up.md	garbled_ocr (4 patterns: ['COCONUT', 'PARTAKEN', 'RESPECT'])
Having many sorts of knowledge cannot compare with giving up SEEKING for anything.md	garbled_ocr (1 patterns: ['SEEKING'])
He was therefore peaceful in both pain and pleasure.md	garbled_ocr (1 patterns: ['VASISTHA'])
How did the Self that ever is Awareness bliss behave as if It had forgotten.md	garbled_ocr (12 patterns: ['OHHSUOTUW', 'TLILILG', 'ABDILIG'])
I GUESS I THOUGHT THAT ONLY  I KNEW WHAT THE TRUTH WAS, WHEN I HAD THE LEAST IDEA OUT OF  ANYONE.md	garbled_ocr (1 patterns: ['THOUGHT'])
I am Brahman there is no doubt of this abide in Silence at ease.md	garbled_ocr (3 patterns: ['SUMMARY', 'SETTLED', 'CONCLUSIONS'])
I am cool you throw fire at me and it becomes cool.md	garbled_ocr (11 patterns: ['DISCIPLE', 'HOSTILE', 'EXCLAIMED'])
I am so small.md	too_short (27 chars)
I feel so alone.md	too_short (15 chars)
IMG_1292.md	img_filename
IMG_1293.md	img_filename
If the mind is turned inwards God manifests as inner consciousness.md	garbled_ocr (2 patterns: ['ULIIELOELIU', 'TLUTITT'])
Image Avalokateshvara Gantz.md	empty_body
It is only living a thing totally that one transcends it.md	garbled_ocr (6 patterns: ['SOMETIMES', 'PASSIONATE', 'SILENTLY'])
Just as you would not identify yourself with your shadow.md	pipe_artifacts (1 lines)
Learn how to be entirely unreceptive to sensations arising from external forms.md	page_numbers (1 standalone numbers); garbled_ocr (29 patterns: ['TEACHING', 'PERCEPTION', 'ENTIRELY'])
Live in this world because this world gives a ripening.md	garbled_ocr (2 patterns: ['CHAPTER', 'CONFUSIVA'])
Making use of things does not defile you error arises from your regarding each thing as having a separate self.md	garbled_ocr (1 patterns: ['TEACHING'])
Most people are so totally identified with their strong feelings of likes and dislikes that they are.md	garbled_ocr (2 patterns: ['ANALYSIS', 'ISHWARANANDA'])
Negation of name and form reveals the Self.md	garbled_ocr (1 patterns: ['NEGATION'])
No matter how exotic human civilization becomes no man ever outgrows the universe.md	garbled_ocr (1 patterns: ['TLEILAXU'])
On account of infinite consciousness all these experiences exist.md	garbled_ocr (1 patterns: ['VASISTHA'])
Only gratitude transforms and they are diametrically opposite to desires.md	garbled_ocr (8 patterns: ['DESIRES', 'CAPACITY', 'WITHOUT'])
Pouring God into God if you know what I mean.md	garbled_ocr (6 patterns: ['BRAHMAPANAM', 'BRAHMAGNI', 'BRAHMAN'])
RELYING ON WORDS YOURE FAMILIAR WITH WILL LEAD YOU ASTRAY.md	garbled_ocr (3 patterns: ['RELYING', 'FAMILIAR', 'SUPPOSE'])
Restrain each single thought from arising then the Eighteen Sense Realms vanish.md	page_numbers (1 standalone numbers); garbled_ocr (2 patterns: ['TEACHING', 'SEEKING'])
Sai Baba teachings on devotion and surrender.md	garbled_ocr (1 patterns: ['CHAPTER'])
Self alone is the reality all else is appearance.md	garbled_ocr (1 patterns: ['VASISTHA'])
Self-negation and ultimate truth.md	garbled_ocr (3 patterns: ['NEGATION', 'ULTIMATE', 'SLOGANS'])
Sikhidhvaja renounces his kingdom for truth.md	garbled_ocr (2 patterns: ['SIKHIDHVAJA', 'BRAHMANA'])
That in which there is the fullness of Consciousness ever abide as That itself.md	garbled_ocr (2 patterns: ['INSTRUCTION', 'ABIDING'])
The Gateway of Non-Duality is your original Mind.md	page_numbers (1 standalone numbers); garbled_ocr (6 patterns: ['TEACHING', 'PONDERING', 'THEREBY'])
The Self alone remains after all illusion is destroyed.md	garbled_ocr (3 patterns: ['DECEMBER', 'VASISTHA', 'VASISTHA'])
The body is a product of food it constitutes the material sheath.md	garbled_ocr (1 patterns: ['YSIUNEAIAT']); pipe_artifacts (1 lines)
The distress of the mind is got rid of by enquiry into the nature of the self.md	garbled_ocr (1 patterns: ['MANDAVYA'])
The divine Name chanting it one is transported across.md	pipe_artifacts (3 lines)
The dualities of shame attraction and aversion.md	garbled_ocr (1 patterns: ['DUALITIES'])
The first thing as I see you I see you miserable.md	pipe_artifacts (1 lines)
The jnani sees no one as an ajnani.md	garbled_ocr (1 patterns: ['LOTWSRISSMT'])
The mind is a bundle of thoughts arising from the I-thought.md	random_chars (1 clusters)
The mind is only a bundle of thoughts.md	garbled_ocr (2 patterns: ['SEPTEMBER', 'VASISTHA'])
The sage does not teach by words but by his living presence.md	pipe_artifacts (1 lines)
The trance-state of prophecy is like no other vision.md	garbled_ocr (1 patterns: ['JOURNALS'])
The universal human pain-body.md	garbled_ocr (1 patterns: ['CHILDREN'])
The universe is just there that is the only way.md	garbled_ocr (1 patterns: ['FEDAYKIN'])
The whole world is but a long dream.md	garbled_ocr (1 patterns: ['BHUSUNVA'])
There has never been a single thing then where does dust alight.md	garbled_ocr (1 patterns: ['REASONING'])
